,Station Name,Distance from Start (km),Line,Opening Date,Station Layout,Latitude,Longitude,Latitude_Longitude,New Station Name
199,Netaji Subash Place [Conn: Pink],27.4,Red,2018-03-14,Elevated,28.69591,77.15226,28.69591 77.15226,Netaji Subhash Place (Red Line)
200,Mayur Vihar Phase-1 [Conn: Blue],35.8,Pink,2018-12-31,Elevated,28.603133,77.2925892,28.603133 77.2925892,Mayur Vihar I Pocket - 4
201,Lajpat Nagar [Conn: Violet],27.7,Pink,2018-06-08,Underground,28.57079,77.23653,28.57079 77.23653,Feroze Gandhi Road
202,Tilak Nagar,16.7,Blue,2005-12-30,Elevated,28.63657,77.09648,28.63657 77.09648,Widow Colony
203,Civil Lines,12.1,Yellow,2004-12-20,Underground,28.6768508,77.2250299,28.6768508 77.2250299,Civil Lines
204,Sukhdev Vihar,24.9,Magenta,2017-12-25,Elevated,28.5597477,77.2749004,28.5597477 77.2749004,Sukhdev Vihar
205,Vasant Vihar,12.8,Magenta,2018-05-29,Underground,28.56069055,77.16079073,28.56069055 77.16079073,Poorvi Marg
206,Shastri Park,16.4,Red,2002-12-25,Elevated,28.668,77.24994,28.668 77.24994,Footover Bridge
207,Udyog Bhawan,19.7,Yellow,2010-03-09,Underground,28.61166,77.21198,28.61166 77.21198,Rafi Ahmed Kidwai Marg
208,Rajiv Chowk [Conn: Yellow],30.1,Blue,2005-12-30,Underground,28.63282,77.21826,28.63282 77.21826,Rajiv Chowk Metro Gate No 8
209,Mandawali - West Vinod Nagar,39.3,Pink,2018-10-31,Elevated,28.6249712,77.3044906,28.6249712 77.3044906,Indraprastha Extension
210,NSEZ Noida,6.3,Aqua,2019-01-25,Elevated,28.535517,77.391029,28.535517 77.391029,Dadri Road
211,RK Puram,15.4,Magenta,2018-05-29,Underground,28.5514261,77.1847012,28.5514261 77.1847012,Africa Avenue
212,Delhi Gate,3.7,Voilet,2017-05-28,Underground,28.6392036,77.2407823,28.6392036 77.2407823,Delhi Gate
213,New Delhi [Conn: Orange],16.1,Yellow,2005-03-07,Underground,28.64307,77.22144,28.64307 77.22144,Platform 16
214,Bahdurgarh City,23.0,Green,2018-06-24,Elevated,28.6907847,76.9354851,28.6907847 76.9354851,Bahadurgarh City
215,Sant Surdas - Sihi,41.8,Voilet,2018-11-19,Elevated,28.3546513,77.3162264,28.3546513 77.3162264,Sant Surdas (Sihi)
216,Shalimar Bagh,3.7,Pink,2018-03-14,Underground,28.71745265,77.15086655,28.71745265 77.15086655,CC Block
217,Mohan Nagar,3.2,Red,2019-08-03,Elevated,28.60631905,77.10608185,28.60631905 77.10608185,Mohan Nagar
218,Noida Sector 16,42.5,Blue,2009-12-11,Elevated,28.57819,77.31757,28.57819 77.31757,Lieutenant Vijyant Thapar Marg
219,Hauz Khas [Conn: Magenta],27.4,Yellow,2010-03-09,Underground,28.54335,77.20667,28.54335 77.20667,Ho Chi Minh Marg
220,Peera Garhi,7.6,Green,2010-02-04,Elevated,28.67959,77.09261,28.67959 77.09261,Rohtak Road
221,Hindon River,1.0,Red,2019-08-03,Elevated,28.878965,77.4154832,28.878965 77.4154832,Baghpat
222,Karkar Duma [Conn: Blue],42.9,Pink,2018-10-31,Elevated,28.6491622,77.30620811,28.6491622 77.30620811,Karkarduma Metro Station (Pink Line)
223,New Ashok Nagar,40.4,Blue,2009-12-11,Elevated,28.58916,77.30204,28.58916 77.30204,Metro Station Road
224,Jor Bagh,22.5,Yellow,2010-03-09,Underground,28.58708,77.21209,28.58708 77.21209,Aurobindo Marg
225,Mandi House [Conn: Blue],5.8,Voilet,2014-06-26,Underground,28.6255556,77.234195,28.6255556 77.234195,Sikandra Road
226,Janak Puri East,15.7,Blue,2005-12-30,Elevated,28.63305,77.08669,28.63305 77.08669,Shivaji Marg
227,Chirag Delhi,19.9,Magenta,2018-05-29,Underground,28.5381411,77.2280694,28.5381411 77.2280694,Chirag Delhi
228,Azadpur [Conn: Pink],6.2,Yellow,2009-04-02,Elevated,28.70696,77.18053,28.70696 77.18053,Azadpur Metro Gate No. 1
229,Noida Sector 81,4.3,Aqua,2019-01-25,Elevated,28.6225753,77.3743146,28.6225753 77.3743146,Shaheed Hawaldar Padam Singh Dhama Marg
230,Shaheed Nagar,8.2,Red,2019-08-03,Elevated,28.5307795,77.2120573,28.5307795 77.2120573,Malviya Nagar
231,Kailash Colony,16.4,Voilet,2010-03-10,Elevated,28.55527,77.24205,28.55527 77.24205,CloudNine
232,Shankar Vihar,10.7,Magenta,2018-05-29,Elevated,28.55743865,77.13966549,28.55743865 77.13966549,Phillauran Nature Trail
233,Noida Sector 83,7.4,Aqua,2019-01-25,Elevated,28.524115,77.397244,28.524115 77.397244,Sampark Marg
234,Noida Sector 34,48.1,Blue,2019-09-03,Elevated,28.4808629,77.0848883,28.4808629 77.0848883,Kotak Mahindra Bank;india
235,Karol Bagh,26.7,Blue,2005-12-30,Elevated,28.644,77.18855,28.644 77.18855,Karol Bagh
236,Tagore Garden,18.5,Blue,2005-12-30,Elevated,28.64379,77.11284,28.64379 77.11284,Tagore Garden
237,Shivaji Park,3.9,Green,2010-02-04,Elevated,28.6749,77.13056,28.6749 77.13056,Rohtak Road
238,Green Park,25.6,Yellow,2010-03-09,Underground,28.55979,77.20682,28.55979 77.20682,Paras Footwear
